name,category,description,auth,selfServe,selfServeDetail,apiSurface_rest,apiSurface_graphql,apiSurface_webhooks,apiSurface_sdks,apiSurface_breadth,apiSurface_docsPublic,mcp_official,mcp_community,mcp_notes,buildability,blocker,evidence,confidenceScore,verificationStatus,notes
Ahrefs,"Data, SEO & Scraping",Leading backlink/SEO research tool with a metered API.,API Key (Bearer),paid_plan_required,API access requires an active paid Ahrefs subscription with API credits; no free-tier key issuance.,True,False,False,,medium,True,False,False,No MCP server found.,Medium,No free tier; a paid Ahrefs plan is required before any API key can be issued.,https://ahrefs.com/api/documentation,78,agent_verified,
MrScraper,"Data, SEO & Scraping",Managed web-scraping API (proxy + headless rendering) for developers.,API Key,freemium_signup,Free-tier signup with limited credits; API key generated instantly.,True,False,False,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://docs.mrscraper.com/,65,agent_verified,"Smaller/newer product; docs are thinner than category leaders, confidence kept moderate."
Apify,"Data, SEO & Scraping",Web-scraping/automation platform built around a marketplace of 'Actors' (serverless scrapers).,"API Token (Bearer), OAuth2 (limited)",freemium_signup,Free tier with monthly credits; API token generated instantly in Settings > Integrations.,True,False,True,"Python, JS/TS",broad,True,True,True,Apify ships an official MCP server exposing Actors as tools.,Easy,,https://docs.apify.com/api/v2,92,agent_verified,
Firecrawl,"Data, SEO & Scraping",LLM-ready web scraping/crawling API purpose-built for feeding AI agents and RAG pipelines.,API Key (Bearer),freemium_signup,Free-tier signup with starter credits; API key generated instantly on signup.,True,False,True,"Python, Node",medium,True,True,True,Firecrawl publishes an official MCP server -- itself part of the standard agentic-research toolchain.,Easy,,https://docs.firecrawl.dev/introduction,93,agent_verified,
Bright Data,"Data, SEO & Scraping",Enterprise proxy network and web-data collection platform.,"API Key (Bearer), Zone credentials (username/password for proxies)",freemium_signup,Free trial credit on signup; API key and proxy zone credentials self-generated instantly in the control panel.,True,False,True,"Python, Node",broad,True,True,False,Bright Data publishes an official MCP server for its Web Unlocker/SERP APIs.,Easy,,https://docs.brightdata.com/api-reference/introduction,88,agent_verified,
Sherlock,"Data, SEO & Scraping",Open-source CLI tool that hunts for usernames across social networks (OSINT).,None (local CLI tool),open,Not a hosted SaaS/API at all -- it's an installable Python CLI/library; 'access' just means installing the package.,False,False,False,Python (CLI/library),narrow (single-purpose),True,False,True,Community MCP wrappers exist that expose Sherlock as an agent tool.,Medium,"Not a hosted API/toolkit-native integration; would need to be wrapped as a subprocess/CLI-invoking tool rather than called over HTTP, and its scraping approach is fragile against target-site changes.",https://github.com/sherlock-project/sherlock,90,agent_verified,"Structurally different from every other row: a CLI tool, not a SaaS API."
Waterfall.io,"Data, SEO & Scraping",B2B contact/company data enrichment API aggregating 30+ underlying data vendors.,API Key (x-api-key header),partnership_required,"Usage API takes a self-serve API key with no long-term contract required, but Waterfall states publicly it is 'very selective' about partnering with platforms that want to build products on top of its data -- so building a general-purpose toolkit integration (vs. a single internal workflow) requires their approval.",True,False,False,,narrow (single enrichment endpoint family),True,False,False,No MCP server found.,Medium,"Company explicitly gates platform/reseller-style API use behind a selective partnership review, even though direct usage is API-key self-serve.",https://www.waterfall.io/book-a-call,80,human_verified,"Live-checked during verification sample: confirmed API-key auth and no-contract usage, but also found the explicit partnership-gate language for platform builders on their own site FAQ."
Clay,"Data, SEO & Scraping",Data enrichment/GTM automation workspace that orchestrates 100+ underlying data providers.,"API Key, Webhooks (incoming, for Clay 'HTTP API' tables)",freemium_signup,Free-tier workspace signup with limited credits; Clay's own API/webhook tables are usable immediately from the workspace.,True,False,True,,medium,True,False,True,No official MCP; Clay is more often the *consumer* of other tools' MCP servers than a provider.,Easy,,https://clay.com/university/lesson/clay-api,78,agent_verified,
GitHub,Developer & Infra,"The default code-hosting/collaboration platform, with a deep REST + GraphQL API.","OAuth2, Personal Access Token, GitHub App (JWT)",open,"Free account; PAT generated instantly in Settings > Developer Settings, zero approval.",True,True,True,every major language,broad,True,True,True,"GitHub publishes an official, widely-used MCP server.",Easy,,https://docs.github.com/en/rest,98,agent_verified,
Vercel,Developer & Infra,Frontend cloud/deployment platform for Next.js and other frameworks.,"Bearer Token (Access Token), OAuth2 (Integrations)",open,Free Hobby account; Access Token self-generated instantly in Account Settings > Tokens.,True,False,True,Node,broad,True,True,True,Vercel publishes an official MCP server.,Easy,,https://vercel.com/docs/rest-api,95,agent_verified,
Netlify,Developer & Infra,"Static site hosting/deployment platform, direct Vercel competitor.","OAuth2, Personal Access Token",open,Free tier; PAT self-generated instantly in User Settings > Applications.,True,False,True,Node,broad,True,False,True,No official MCP confirmed; community servers exist.,Easy,,https://docs.netlify.com/api/get-started/,90,agent_verified,
Cloudflare,Developer & Infra,"CDN/security/edge-compute platform (DNS, Workers, Zero Trust, etc.).","API Token (Bearer), OAuth2 (limited)",open,Free tier; scoped API Tokens self-generated instantly in the dashboard.,True,True,True,every major language,broad,True,True,True,"Cloudflare publishes official MCP servers (Workers, Docs, etc.).",Easy,,https://developers.cloudflare.com/api/,96,agent_verified,
Supabase,Developer & Infra,"Open-source Firebase alternative: Postgres, auth, storage, and edge functions as a managed platform.","API Key (anon/service_role), OAuth2 (management API)",open,Free-tier project self-created instantly; API keys visible immediately in project settings.,True,True,True,"JS, Python, Dart, Swift",broad,True,True,True,Supabase publishes an official MCP server for its management API.,Easy,,https://supabase.com/docs/guides/api,95,agent_verified,
Neo4j,Developer & Infra,Graph database; programmatic access is via the Bolt protocol/drivers rather than a general REST API.,"Basic Auth / Bearer (drivers), API Key (Aura management API)",freemium_signup,Free AuraDB Free tier self-created instantly; connection credentials available immediately. The management/admin API for provisioning instances also self-serve via API key.,True,True,False,"Python, Java, JS, Go, .NET","broad (as a database, not a typical SaaS API)",True,True,True,Neo4j publishes an official MCP server for querying via Cypher.,Medium,"Primary access pattern is a database driver protocol (Bolt/Cypher), not a typical REST endpoint, so integration effort differs from most other rows even though it is self-serve.",https://neo4j.com/docs/aura/,78,agent_verified,
Snowflake,Developer & Infra,Cloud data warehouse with SQL API and increasingly agent-oriented Cortex features.,"Key-pair (JWT), OAuth2, Basic Auth (username/password, discouraged)",freemium_signup,"Free 30-day trial account with credits; SQL API access configured self-serve via key-pair auth, no manual approval.",True,False,False,"Python, Java, Node, Go",broad,True,True,True,Snowflake publishes an official Cortex/Snowflake MCP server.,Easy,,https://docs.snowflake.com/en/developer-guide/sql-api/index,85,agent_verified,
MongoDB Atlas,Developer & Infra,"Managed MongoDB cloud platform, with both a database driver interface and an Atlas Administration API.","Digest Auth (API keys) for Admin API, SCRAM/X.509 for database driver",open,"Free M0 cluster self-created instantly; Atlas Admin API keys self-generated in Organization Access Manager, no approval.",True,False,True,every major language (drivers),broad,True,True,True,MongoDB publishes an official MCP server.,Easy,,https://www.mongodb.com/docs/atlas/reference/api-resources-spec/,90,agent_verified,
Datadog,Developer & Infra,"Observability platform (metrics, logs, traces, monitors) with a comprehensive API.",API Key + Application Key,freemium_signup,Free-tier trial; API key and App key self-generated instantly in Organization Settings.,True,False,True,every major language,broad,True,True,True,Datadog publishes an official MCP server.,Easy,,https://docs.datadoghq.com/api/latest/,93,agent_verified,
Sentry,Developer & Infra,Error-tracking/application-monitoring platform.,"Bearer Token (Auth Token), OAuth2",open,Free developer tier; Auth Token self-generated instantly in Settings > Auth Tokens.,True,False,True,every major language,broad,True,True,True,Sentry publishes an official MCP server.,Easy,,https://docs.sentry.io/api/,93,agent_verified,
Notion,Productivity & PM,Docs/wiki/database workspace with a widely-used public API and integration ecosystem.,"OAuth2 (public integrations), Internal Integration Token",open,Free personal workspace; Internal Integration token self-generated instantly at notion.so/my-integrations.,True,False,True,JS/TS,broad,True,True,True,Notion publishes an official MCP server.,Easy,,https://developers.notion.com/docs/getting-started,96,agent_verified,
Airtable,Productivity & PM,Spreadsheet-database hybrid with a very developer-friendly REST API.,"Personal Access Token, OAuth2",open,Free-tier account; PAT self-generated instantly at airtable.com/create/tokens.,True,False,True,JS,broad,True,True,True,Airtable publishes an official MCP server.,Easy,,https://airtable.com/developers/web/api/introduction,95,agent_verified,
Linear,Productivity & PM,"Issue-tracking tool built for fast-moving software teams, GraphQL-first API.","OAuth2, Personal API Key",open,Free-tier workspace; Personal API key self-generated instantly in Settings > API.,False,True,True,TS SDK,broad,True,True,True,Linear publishes an official MCP server.,Easy,,https://developers.linear.app/docs/graphql/working-with-the-graphql-api,93,agent_verified,
Jira,Productivity & PM,"Atlassian's issue-tracker/project-management tool, ubiquitous in enterprise engineering orgs.","OAuth2 (3LO), API Token (Basic auth)",open,Free-tier Cloud site; API token self-generated instantly at id.atlassian.com/manage-profile/security/api-tokens.,True,True,True,"Python, Node, Java",broad,True,True,True,Atlassian publishes an official Rovo/Jira MCP server.,Easy,,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,95,agent_verified,
Asana,Productivity & PM,Task/project management tool with a mature public API.,"OAuth2, Personal Access Token",open,Free-tier workspace; PAT self-generated instantly in My Settings > Apps > Manage Developer Apps.,True,False,True,"Node, Python, Java",broad,True,True,True,Asana publishes an official MCP server.,Easy,,https://developers.asana.com/docs/overview,94,agent_verified,
Monday.com,Productivity & PM,"Work-OS style project/workflow management platform, GraphQL API.","OAuth2, Personal API Token",open,Free-tier account; API token self-generated instantly under Admin > API.,False,True,True,"JS, Java",broad,True,True,True,monday.com publishes an official MCP server.,Easy,,https://developer.monday.com/api-reference/docs,92,agent_verified,
ClickUp,Productivity & PM,All-in-one work-management platform with a broad REST API.,"OAuth2, Personal API Token",open,Free-tier workspace; personal token self-generated instantly in Settings > Apps.,True,False,True,,broad,True,True,True,ClickUp publishes an official MCP server.,Easy,,https://developer.clickup.com/docs,90,agent_verified,
Coda,Productivity & PM,Doc/spreadsheet/app hybrid workspace with a REST API for reading and writing tables.,Bearer Token (API Token),open,Free-tier account; API token self-generated instantly in Account Settings.,True,False,True,,medium,True,False,True,No official MCP confirmed; community servers exist.,Easy,,https://coda.io/developers/apis/v1,88,agent_verified,
Smartsheet,Productivity & PM,Spreadsheet-based work-management platform popular in enterprise operations teams.,"OAuth2, API Access Token",open,Free trial account; API access token self-generated instantly in Account > Personal Settings > API Access.,True,False,True,"Java, Python, .NET",broad,True,False,True,No official MCP confirmed; community servers exist.,Easy,,https://developers.smartsheet.com/api/smartsheet/,88,agent_verified,
Harvest,Productivity & PM,Time-tracking and invoicing tool for services businesses.,"OAuth2, Personal Access Token",open,Free trial account; PAT self-generated instantly at id.getharvest.com/developers.,True,False,True,"Ruby, Node",medium,True,False,False,No MCP server found.,Easy,,https://help.getharvest.com/api-v2/,86,agent_verified,
Stripe,Finance & Fintech,"The reference-standard payments API; broad, deeply documented, and API-first by design.","API Key (Bearer), OAuth2 (Connect)",open,"Free account; test-mode API keys visible instantly on signup, live keys unlock after basic account activation.",True,False,True,every major language,broad,True,True,True,Stripe publishes an official MCP server.,Easy,,https://stripe.com/docs/api,98,agent_verified,
Plaid,Finance & Fintech,Bank-account connectivity/financial-data API used by fintech apps.,API Key (client_id + secret),freemium_signup,Free Sandbox + Development environment self-serve on signup; Production access requires an application review (fraud/compliance screening).,True,False,True,every major language,broad,True,False,True,No official MCP; community servers exist.,Medium,"Production access requires Plaid's manual application review for compliance reasons, even though Sandbox is instant.",https://plaid.com/docs/api/,90,agent_verified,
Binance,Finance & Fintech,Major cryptocurrency exchange with a broad public trading/market-data API.,API Key + HMAC signature,open,"Free account (KYC required for trading, not for market-data-only access); API key self-generated instantly.",True,False,True,every major language,broad,True,False,True,No official MCP; community servers exist.,Easy,,https://binance-docs.github.io/apidocs/spot/en/,88,agent_verified,
Paygent Connect,Finance & Fintech,Payment orchestration layer described as NMI-powered; positioned for agencies/SaaS platforms reselling payments.,API Key (inherits NMI Direct Post/Query API model),gated_unclear,"Could not locate an independent, public developer-docs site distinct from the underlying NMI gateway it is built on; onboarding appears to run through a reseller/ISO signup process rather than public self-serve signup.",True,False,False,,unknown,False,False,False,No MCP server found.,Hard,No independently verifiable public API documentation found; onboarding appears to require becoming a reseller/merchant account holder first.,https://www.nmi.com/developers,35,flagged,Unknown/low-confidence: this is a defeated-app case. Evidence URL points to the underlying NMI platform docs since a distinct public Paygent Connect API reference could not be confirmed.
iPayX,Finance & Fintech,FX-forensic-audit layer (FINTRAC-registered) that detects hidden bank/card markup on currency transactions.,"None (free comparison endpoint), Bearer Token / API Key (paid audit endpoints)",freemium_signup,"One core comparison tool is callable with no auth at all (free); deeper forensic-audit and full-report endpoints require a Bearer/API key and hit a 402 Payment Required after a free-trial allowance -- self-serve, metered by usage rather than gated by approval.",True,False,False,,narrow (single-purpose FX audit),True,True,False,"iPayX ships an official MCP server ('iPayX FX Audit') listed on public MCP directories (Glama, mcpservers.org, GitHub).",Easy,,https://www.ipayx.ai/docs/mcp-server,82,human_verified,"Live-checked during verification sample via its public MCP listing: confirmed a no-auth free tier, Bearer-token paid tier, and an official first-party MCP server -- unusual for how small/new this vendor is."
QuickBooks,Finance & Fintech,Small-business accounting software with a mature public API.,OAuth2,open,Free developer account and Sandbox company self-serve instantly at developer.intuit.com; production keys require a short automated app review (not a sales gate).,True,False,True,"Node, Python, Java, PHP, .NET",broad,True,False,True,No official MCP; community servers exist.,Easy,,https://developer.intuit.com/app/developer/qbo/docs/get-started,90,agent_verified,
Xero,Finance & Fintech,"Cloud accounting software popular outside the US, strong API ecosystem.",OAuth2,open,Free developer account and demo company self-serve instantly at developer.xero.com.,True,False,True,"Node, Python, Java, .NET",broad,True,False,True,No official MCP; community servers exist.,Easy,,https://developer.xero.com/documentation/getting-started-guide/,90,agent_verified,
Brex,Finance & Fintech,Corporate card/spend-management platform for startups and enterprises.,"OAuth2, API Key",admin_approval_required,"API access requires an active Brex account (business underwriting/approval to become a customer at all); once a customer, API keys are self-generated in the dashboard by an admin.",True,False,True,,medium,True,False,False,No MCP server found.,Medium,Must be an underwritten Brex customer before API keys can be created at all -- not a pure developer-sandbox self-serve.,https://developer.brex.com/docs/introduction/,78,agent_verified,
Ramp,Finance & Fintech,"Corporate card/spend-management platform, Brex's closest competitor.",OAuth2 (client credentials),admin_approval_required,"Similar to Brex: must be an approved Ramp business customer before API credentials exist; once a customer, OAuth2 client is self-serve from the admin dashboard.",True,False,True,,medium,True,False,False,No MCP server found.,Medium,Requires an approved Ramp customer account before any API credentials can be created.,https://docs.ramp.com/developer-api/v1/overview/introduction,78,agent_verified,
PitchBook,Finance & Fintech,"Private-markets/M&A research data platform (companies, deals, investors).",OAuth2 (enterprise-issued),contact_sales_only,No public self-signup of any kind; data access (including API) is sold as part of an enterprise subscription and provisioned by PitchBook's sales/success team.,True,False,False,,unknown (behind login),False,False,False,No MCP server found.,Hard,"Enterprise-only, contact-sales; no public docs or trial access to independently verify the API surface.",https://pitchbook.com/data,50,flagged,
NotebookLM,"AI, Research & Media",Google's AI research/notebook assistant; consumer product has no public API of its own.,"OAuth2 (via underlying Gemini Enterprise API, not NotebookLM directly)",contact_sales_only,"The consumer NotebookLM product has no public developer API at all. Programmatic, notebook-like capability is only available indirectly through Gemini Enterprise, which is an enterprise-sales product.",False,False,False,,none (no public API),False,False,False,No MCP server exists because there is no public API to wrap.,Impossible,"No public API for the NotebookLM product itself; the only related programmatic path is Gemini Enterprise, a separate contact-sales product, not a NotebookLM integration.",https://cloud.google.com/gemini,75,flagged,"Defeated-app case: this is a real, honest 'no' -- worth flagging clearly for Composio since it's a commonly requested app."
Otter.ai,"AI, Research & Media",AI meeting-notes/transcription tool with an enterprise API and an MCP server.,API Key,paid_plan_required,"API access is documented as part of Otter's Business/Enterprise tiers, not the free or Pro consumer tiers -- a paid-plan gate rather than a partnership.",True,False,True,,narrow-medium,True,True,False,Otter documents an MCP server in its help center.,Medium,API is restricted to Business/Enterprise plans; no self-serve free-tier key for independent testing.,https://help.otter.ai/,68,agent_verified,
Fathom,"AI, Research & Media",AI meeting-recorder/notetaker with a growing developer API.,API Key (Bearer),paid_plan_required,API access is documented for Team/paid plans; free tier does not include API access.,True,False,True,,narrow-medium,True,False,False,No MCP server found at time of research.,Medium,API gated behind a paid plan; no free-tier key for independent testing.,https://fathom.video,55,flagged,
Consensus,"AI, Research & Media",AI-powered academic search engine that answers questions using 200M+ peer-reviewed papers.,Bearer Token (API Key),freemium_signup,"Free account self-signup at consensus.app/sign-up gets a working API key immediately (quick_search endpoint); higher rate limits and richer fields (study_type, DOI) require Pro/Enterprise, a request-a-quote upsell rather than a hard access gate.",True,False,False,"Shell, Node, Ruby, PHP, Python (examples in docs)",narrow (single search/retrieval endpoint family),True,True,False,"Consensus publishes an official MCP server at mcp.consensus.app, used natively by ChatGPT Deep Research and other MCP clients.",Easy,,https://docs.consensus.app/,90,human_verified,"CORRECTED during verification: the agent's first pass ('no public API found', Hard/Unknown) was wrong. A live check found a fully public, self-serve API (docs.consensus.app) and an official MCP server -- this row moved from Hard/flagged to Easy/human_verified after the check."
Reducto,"AI, Research & Media","Document-parsing API that converts complex PDFs/scans into structured, LLM-ready data.",API Key (Bearer),freemium_signup,Free-tier signup with starter credits; API key self-generated instantly.,True,False,True,"Python, Node",medium,True,False,False,No MCP server found at time of research.,Easy,,https://docs.reducto.ai/,80,agent_verified,
Devin,"AI, Research & Media","Cognition's autonomous software-engineering agent, with its own API and MCP integration.",API Key (Bearer),paid_plan_required,API access requires an active paid Devin plan with API credits; no free-tier key.,True,False,True,,medium,True,True,False,Devin documents an official MCP integration.,Medium,No free tier; a paid Devin plan is required before API keys can be issued.,https://docs.devin.ai/,78,agent_verified,
higgsfield,"AI, Research & Media",AI video/content-generation suite with a CLI-based workflow.,API Key,gated_unclear,"Product markets a CLI and API but a clear, independent public developer-docs reference (auth model, endpoints, rate limits) could not be confirmed at time of research.",True,False,False,,unknown,False,False,False,No MCP server found.,Hard,Could not confirm authoritative public API documentation; treat as Unknown pending direct verification with the vendor.,https://higgsfield.ai,30,flagged,"Defeated-app case: newer/smaller product, insufficient public documentation to make a confident call."
Mermaid CLI,"AI, Research & Media",Open-source CLI (mmdc) that renders Mermaid diagram syntax to PNG/SVG/PDF.,None (local CLI tool),open,"Not a hosted SaaS -- an installable open-source npm package (`@mermaid-js/mermaid-cli`) run locally or in CI, no account or key of any kind.",False,False,False,Node CLI,narrow (single-purpose renderer),True,False,True,Community MCP servers exist that expose Mermaid rendering as an agent tool.,Easy,,https://github.com/mermaid-js/mermaid-cli,92,agent_verified,"Like Sherlock, this is a CLI/library rather than a hosted API -- 'buildability' means wrapping a subprocess call, not calling HTTP endpoints."
YouTube Transcript API (transcriptapi.com),"AI, Research & Media",Third-party hosted API that fetches YouTube video transcripts/captions on demand.,API Key (Bearer),freemium_signup,Free-tier signup with limited requests; API key self-generated instantly.,True,False,False,,narrow (single-purpose),True,False,True,Community MCP wrappers exist for YouTube-transcript-style tools.,Easy,,https://transcriptapi.com/,70,agent_verified,"Third-party wrapper around YouTube's own (non-public) caption data, not an official YouTube/Google product -- worth flagging that dependency risk to Composio."
Grain,"AI, Research & Media",AI meeting-recording/highlight-reel tool for sales and user-research teams.,"OAuth2, API Key",paid_plan_required,Public API is documented but positioned for Business-tier customers; free/starter tiers do not include API access.,True,False,True,,medium,True,False,False,No MCP server found.,Medium,API access restricted to paid Business-tier plans; no free-tier key for independent testing.,https://grain.com/,60,flagged,
